wl_entry_id,wl_nm,data_id,ref_num,entity_nm,fka_nm,designation_txt,gender_txt,add_info,listed_dt,entity_type
WLE-2238,US OFAC,us-ofac.0cd6271414dde7bf012549629bddd29b48bb69d7,SDNTK,SISTEMAS CONSTRUCTORES,,,,,,Organization
WLE-2239,US OFAC,us-ofac.4fbc044f943a4d7a3076f14c3e92932415ea3f6c,SDNTK,BODEGAS BANYOLAS,,,,,,Organization
WLE-2240,US OFAC,us-ofac.4f3f6db38663a7cba598ed1eb7e5345f4bc2d57d,SDNTK,Maria Guadalupe GASTELUM PAYAN,,,,"(Linked To: GRUPO IMPERGOZA, S.A. DE C.V.; Linked To: DESARROLLOS EVEREST, S.A. DE C.V.)",,Individual
WLE-2241,US OFAC,us-ofac.ced5830672cf8146483730af18cf100f650729b5,SDNTK,FERNAPLAST,,,,,,Organization
WLE-2242,US OFAC,us-ofac.85fd7ae0fd314995b70f8dcaa1291f03e516263c,SDNTK,CABOMARZO,,,,,,Organization
WLE-2243,US OFAC,us-ofac.8b751c8be7c00c0c17cda6da7ae2637e8334fc21,SDNTK,BRODWAY COMMERCE INC.,,,,,,Organization
WLE-2244,US OFAC,us-ofac.71df4e57dfbdf2c1382a9c936b0357efee76365f,SDNTK,"GASOLINERA ALAMOS COUNTRY, S.A. DE C.V.",,,,,,Organization
WLE-2245,US OFAC,us-ofac.326dc505046f1024010219b9821b53d0cdb0ad0f,SDNTK,HACIENDA SANTA INES,,,,,,Organization
WLE-2246,US OFAC,us-ofac.1bdfa47048f86bd36a28a74827d065981acafc60,SDNTK,BOUTIQUE MARLLORY,,,,,,Organization
WLE-2247,US OFAC,us-ofac.cb42b674655614a5f4313f82b33e461c8e3e5257,SDNTK,Elvira ARAUJO MONZON,,,,"(Linked To: ESTACIONES DE SERVICIOS CANARIAS, S.A. DE C.V.; Linked To: GASOLINERA ALAMOS COUNTRY, S.A. DE C.V.; Linked To: GASOLINERA Y SERVICIOS VILLABONITA, S.A. DE C.V.)",,Individual
WLE-2248,US OFAC,us-ofac.da12251c4d60bb05524606a589d073d51782b5db,SDNTK,Jose Miguel HANDAL PEREZ,,,,(Linked To: CORPORACION HANDAL S. DE R.L.; Linked To: EASY CASH S. DE R.L.; Linked To: AUTO PARTES HANDAL S. DE R.L. DE C.V.; Linked To: SUPERTIENDAS HANDAL S. DE R.L.; Linked To: JM TROYA),,Individual
WLE-2249,US OFAC,us-ofac.9f3a6357747d558c002055f0583e2cfa1f908e87,SDNTK,Ulises GUZMAN OCHOA,,,,"(Linked To: GASODIESEL Y SERVICIOS ANCONA, S.A. DE C.V.; Linked To: GASOLINERA ALAMOS COUNTRY, S.A. DE C.V.; Linked To: GASOLINERA Y SERVICIOS VILLABONITA, S.A. DE C.V.; Linked To: PETROBARRANCOS, S.A. DE C.V.; Linked To: SERVICIOS CHULAVISTA, S.A. DE C.V.)",,Individual
WLE-2250,US OFAC,us-ofac.6c5a75042f8362bf3c720f1a53b514734df06076,SDGT,Abbas Loutfe FAWAZ,,,,,,Individual
WLE-2251,US OFAC,us-ofac.24ebc3289d947a2ad76d4f3c1c9d2950dc21460f,SDNTK,"GRUPO CINJAB, S.A. DE C.V.",,,,,,Organization
WLE-2252,US OFAC,us-ofac.197ee996ee90ba1fbe4ebea61b1380a5780ac543,SDNTK,"GRUPO IMPERGOZA, S.A. DE C.V.",,,,,,Organization
WLE-2253,US OFAC,us-ofac.fb7de36e424eb87748c5d5cf7123c87b761d1333,SDNTK,Cristian Ivan ESPARRAGOZA GASTELUM,,,,"(Linked To: GRUPO CINJAB, S.A. DE C.V.; Linked To: GRUPO IMPERGOZA, S.A. DE C.V.)",,Individual
WLE-2254,US OFAC,us-ofac.31c2fb12bb59b3a56e82d17086002415728eab65,SDNTK,Jose Gerardo IBARRA FAVILA,,,,,,Individual
WLE-2255,US OFAC,us-ofac.cd2d7b49cf0eeb98c2366f6195890f883c5f2c51,SDNTK,CONSTRUCTORA W.L.,,,,,,Organization
WLE-2256,US OFAC,us-ofac.50312143ec4a0edb0de9f2bd0b85075a223702c5,SDNTK,TRANSPORTES J.L. CORDON,,,,,,Organization
WLE-2257,US OFAC,us-ofac.548100f2273ae3812dc8105d519a0fac262f6da4,SDNTK,ADMINISTRADORA DEL ORIENTE,,,,,,Organization
WLE-2258,US OFAC,us-ofac.99389532eb3e4d1a25b04b1300f4fed8957aefd2,SDNTK,"INVERSIONES IRIS MANUELA, S.A.",,,,,,Organization
WLE-2259,US OFAC,us-ofac.83711765a7ab13961dfd690ac3b2af60c29368ca,SYRIA; SDGT; IFSR; IRGC,SYRIAN ARAB AIRLINES,,,,,,Organization
WLE-2260,US OFAC,us-ofac.65b28e97bbbc7a454d7f3e0037caa2b7093cb28c,SDNTK,IMPORTADORA BORRAYO LASMIBAT,,,,,,Organization
WLE-2261,US OFAC,us-ofac.cc44c45d257330c114e2cb90d51d1688322ad8bf,SDNTK,HUERTAS Y HORTALIZAS,,,,,,Organization
WLE-2262,US OFAC,us-ofac.6d78e9d91d148377c91b6ea6b8fb9b961a56c454,SDNTK,"BUENOS AIRES SERVICIOS, S.A. DE C.V.",,,,,,Organization
WLE-2263,US OFAC,us-ofac.4ead5b55be13a3ed254b09dde975073a706f2459,SDNTK,COMERCIALIZADORA GERMAY DE SONORA S.A. DE C.V.,,,,,,Organization
WLE-2264,US OFAC,us-ofac.de4e130e336723be3364c103bf6d571953aed66a,SDNTK,Marta Julia LORENZANA CORDON,,,,,,Individual
WLE-2265,US OFAC,us-ofac.58d2182f2367c3a03f8f92ed272c68b7a3db5138,SDNTK,DELPSA,,,,,,Organization
WLE-2266,US OFAC,us-ofac.bcea697989b839e098259a93cf89f4d3b1ccc35e,SDNTK,CASA VOGUE,,,,,,Organization
WLE-2267,US OFAC,us-ofac.63255dedc762cacc192dd8a73f699bd7bf7aa586,SDNTK,"GASODIESEL Y SERVICIOS ANCONA, S.A. DE C.V.",,,,,,Organization
WLE-2268,US OFAC,us-ofac.765f9f8d327bc871043ae75f89aefde25fdbe96a,SYRIA,Adib MAYALEH,,Governor of Central Bank of Syria,,,,Individual
WLE-2269,US OFAC,us-ofac.0403097338b1be69660e078f9587a4d69b65c8fb,SDNTK,CORPORACION DAIMEX S.A.,,,,,,Organization
WLE-2270,US OFAC,us-ofac.760daa6f1caa0c9e587a38d72af1ae634ba9a118,SDNTK,Juvencio Ignacio GONZALEZ PARADA,,,,"(Linked To: GRUPO CINJAB, S.A. DE C.V.; Linked To: GRUPO IMPERGOZA, S.A. DE C.V.; Linked To: URBANIZADORA NUEVA ITALIA, S.A. DE C.V.)",,Individual
WLE-2271,US OFAC,us-ofac.5cdff3029ced08e73871e66c618b21fbd0f96f0c,NPWMD,BUSINESS LAB,,,,,,Organization
WLE-2272,US OFAC,us-ofac.e748d24b5010e2b270e5a7ded660a67e84ed5dd8,SDNTK,MEZA FLORES DRUG TRAFFICKING ORGANIZATION,,,,,,Organization
WLE-2273,US OFAC,us-ofac.066649280cbe4690808c45b40e9293b8eef7d24d,SDNTK,Fausto Isidro MEZA FLORES,,,,(Linked To: AUTOTRANSPORTES TERRESTRES S.A. DE C.V.; Linked To: AUTO SERVICIO JATZIRY S.A. DE C.V.; Linked To: CONSTRUCTORA JATZIRY DE GUASAVE S.A. DE C.V.),,Individual
WLE-2274,US OFAC,us-ofac.813c761d409428bbe6dbb548375239c1eeecad4d,SDNTK,Salome MEZA FLORES,,,,,,Individual
WLE-2275,US OFAC,us-ofac.fabd019499c430abc3b41a3947e6bb71185eaba7,SDGT,HAJI KHAIRULLAH HAJI SATTAR MONEY EXCHANGE,,,,(Linked To: TALIBAN),,Organization
WLE-2276,US OFAC,us-ofac.72f14545e96d1e3a6942d9aa3a9a108828b88e25,SDGT,Haji Khairullah BARAKZAI,,,,(Linked To: TALIBAN; Linked To: HAJI KHAIRULLAH HAJI SATTAR MONEY EXCHANGE),,Individual
WLE-2277,US OFAC,us-ofac.7a118a302d46ff39e34e4c49bb9bba0efcbb1bf6,SDGT,Khalid AL-BARNAWI,,,,,,Individual
WLE-2278,US OFAC,us-ofac.ee9f8fcb24d1c00cda54128de5c94fa5fce8887a,SDNTK,"SERVICIOS CHULAVISTA, S.A. DE C.V.",,,,,,Organization
WLE-2279,US OFAC,us-ofac.31f6580f0cff3c9d0ed3484c188f7c6ef0c90697,SDNTK,"ADT PETROSERVICIOS, S.A. DE C.V.",,,,,,Organization
WLE-2280,US OFAC,us-ofac.c4b314ed7407594a4bd9974875cdb7d7b17bfc92,SDNTK,Jorge Guillermo GONZALEZ CARDENAS,,,,,,Individual
WLE-2281,US OFAC,us-ofac.d3ba1db7a979138130dffa5df1928472538a02ea,SDNTK,Oscar Dominguez VILLA DIAZ,,,,,,Individual
WLE-2282,US OFAC,us-ofac.e60909b875a9d9eae1494aac805da7f64fbc235e,SDNTK,Gabriela VAZQUEZ VILLAVICENCIO,,,,,,Individual
WLE-2283,US OFAC,us-ofac.85c67c94148117929d71a7afab0e8604e01475c4,CYBER2,Aleksey Alekseyevich BELAN,,,,,,Individual
WLE-2284,US OFAC,us-ofac.80c542cb52c383eb29c63e3260590f7f82ce1a37,SDNTK,Augustin FLORES APODACA,,,,,,Individual
WLE-2285,US OFAC,us-ofac.057c039e93d278c65d5f18a867c7b94a6b0070c0,SDNTK,Fausto Isidro MEZA ANGULO,,,,,,Individual
WLE-2286,US OFAC,us-ofac.d5a8137865a19c32963991c0be46b0808a337d81,SDGT,ROSHAN MONEY EXCHANGE,,,,(Linked To: TALIBAN),,Organization
WLE-2287,US OFAC,us-ofac.8c658eda9f4b2c9520f1c838a73b42a0a5828ca2,SDGT,Haji Abdul Sattar BARAKZAI,,,,(Linked To: HAJI KHAIRULLAH HAJI SATTAR MONEY EXCHANGE; Linked To: TALIBAN),,Individual
WLE-2288,US OFAC,us-ofac.e84bdd099b27d3ccc723688fb5f5aba0628028e7,SDGT,Abubakar SHEKAU,,,,,,Individual
WLE-2289,US OFAC,us-ofac.3f1587008f101db7ec7f63d5744f3c7b96018c74,SDGT,Aitzol Iriondo YARZA,,,,Organization: Basque Fatherland and Liberty (ETA); In custody in France,,Individual
WLE-2290,US OFAC,us-ofac.fecafeed037c49f54d7d18363f4948e3129b7eed,SDNTK,Victor Manuel FELIX FELIX,,,,,,Individual
WLE-2291,US OFAC,us-ofac.94cbc9b84d744fdd2ddf1533a39376ca24f2de1b,SDNTK,Rigoberto DIAS PANIAGUA,,,,,,Individual
WLE-2292,US OFAC,us-ofac.cde4ff6a17641a1dd2f435f38eaff2c2f4cbb203,NPWMD; IFSR,INFORMATION SYSTEMS IRAN,,,,,,Organization
WLE-2293,US OFAC,us-ofac.104b48f0a6c6a89a9bd65c1a87456cbad4fc5d7f,NPWMD; IFSR,ELECTRONIC COMPONENTS INDUSTRIES CO,,,,,,Organization
WLE-2294,US OFAC,us-ofac.c985d23c25512ab413378833fa1af24d3ae7a482,NPWMD; IFSR,DIGITAL MEDIA LAB,,,,,,Organization
WLE-2295,US OFAC,us-ofac.28a04bad82b2759a8136a3fbb156216c0e6ffba5,IFSR; NPWMD,MOBILE VALUE-ADDED SERVICES LABORATORY,,,,,,Organization
WLE-2296,US OFAC,us-ofac.7bcbd8d3e9e94ce2c454f5df417e2a8f8ed6c419,SDNTK,Daniel MORENO,,,,(Linked To: D'S SUPERMARKET COMPANY LTD.),,Individual
WLE-2297,US OFAC,us-ofac.8d9e0c51ff9036539540f1e50e8c23e5f0678198,SDNTK,D'S SUPERMARKET COMPANY LTD.,,,,,,Organization
WLE-2298,US OFAC,us-ofac.f8259230df3e87923f77eb58b3cff00e68f6112a,SDNTK,CONSTRUCTORA JATZIRY DE GUASAVE S.A. DE C.V.,,,,"(Linked To: MEZA FLORES, Fausto Isidro)",,Organization
WLE-2299,US OFAC,us-ofac.d11f515d0faa0a2df9e6cafaf38dd5ff4ae59aa3,NPWMD; IFSR,CENTER FOR INNOVATION AND TECHNOLOGY COOPERATION,,,,,,Organization
WLE-2300,US OFAC,us-ofac.0d1676781009f9f509137c4d05149c1802477917,SDNTK,SUPERTIENDAS HANDAL S. DE R.L.,,,,,,Organization
WLE-2301,US OFAC,us-ofac.c0119ab3d707d229ac89584d64da886e2105eeaf,SDNTK,JM TROYA,,,,,,Organization
